news,class_international,class_sci-tech & agri,class_sport,class_sunday magazine
,1,0,0,0
"Foreign Minister Wang Yi with President Ibrahim Mohamed Solih.Twitter
 Maldives and China
on Saturday signed key bilateral agreements during Chinese Foreign Minister Wang Yi’s visit, on developing and maintaining infrastructure in the Indian Ocean archipelago, besides agreeing on a visa-free travel arrangement for Maldivians intending to travel to China.
Mr. Wang arrived in Male on Friday, as part of his five-nation trip to Eritrea, Kenya, the island nation of Comoros, the Maldives and Sri Lanka. Maldivian Foreign Minister Abdulla Shahid and his Chinese counterpart unveiled a special official logo to mark 50 years of diplomatic relations between the countries. “For the past five decades, China has been an important partner in the socio-economic development of the Maldives, contributing immensely towards social housing, capacity building, infrastructure development, and tourism. I have no doubt that Maldives-China relations will rise to new heights under the able leadership of both President Ibrahim Mohamed Solih, and President Xi Jinping,” Mr. Shahid said, at a press conference.A statement issued by the Maldivian Foreign Ministry said the visa-waiver agreement would allow Maldivians to travel to China on 30-day visa free basis once the pandemic restrictions are lifted. The two governments signed an agreement of ‘Economic and Technical Cooperation’ on grant aid, focusing on social, livelihood, and infrastructure projects. Further, the Government of Maldives signed a ‘Letter of Exchange’ on a ‘Feasibility Study of Management and Maintenance of China-Maldives Friendship Bridge’, for Chinese assistance in maintaining the 1.4-km bridge connecting capital Male with the island of Hulhumale.It was built with $200 million Chinese assistance during the term of former President Abdulla Yameen, whose government was close to Beijing. The bridge is considered China’s flagship project in the Maldives. Male owes Beijing about $1.4 billion from past loans, which President Ibrahim Mohamed Solih’s government has sought to “restructure”.China also agreed to back a sea-water desalination project and cooperate in the health sector, the Foreign Ministry said. Minister Wang’s visit would be one of “great significance to the future development of our bilateral relations”, Chinese Ambassador in Male Wang Lixin said in a tweet.Mr. Wang’s visit will be watched closely by New Delhi, which has maintained frequent contact with the Solih government that openly pursues an ‘India First’ foreign policy. Following regime change in Male in 2018, New Delhi committed $1.4 billion to development in the island nation that is home to about 5.5 lakh people.Mr. Wang’s visit also coincides with a growing ‘India Out’ campaign among sections within the Maldives that oppose “Indian military presence” in the country. The government has denied the allegation. The ‘India Out’ campaign has more recently intensified, with the backing of President Yameen, whose conviction in a money laundering case was recently overturned by the Supreme C",1,0,0,0
"Soldiers clearing the snow-covered road in Murree, around 46 km north of Islamabad, on Saturday.AFP-
| Photo Credit: -
At least 22 people, including 10 children, died in a popular mountain resort town in Pakistan after being stuck in their vehicles overnight during a heavy snowstorm as temperatures plummeted, officials said on Saturday.Most of the victims died of hypothermia, officials said. Among them was an Islamabad police officer and seven other members of his family, fellow police officer Atiq Ahmed said.More than 4 feet of snow fell in the area of the Murree Hills resort overnight Friday and early Saturday, trapping thousands of cars on roadways, said Interior Minister Sheikh Rashid Ahmed. The snow was so severe that heavy equipment brought in to clear it initially got stuck during the night, said Umar Maqbool, assistant commissioner for the town of Murree. Temperatures fell to minus 8 degrees Celsius.Officials called in paramilitary troops and a special military mountain unit to help. By late Saturday, thousands of vehicles had been pulled from the snow but more than a thousand were still stuck, Ahmed said.Most roads leading to the area’s resorts were largely cleared of snow by late Saturday, and military troops were working to clear the rest, Mr. Maqbool said. The military also converted army-run schools into relief camps where they provided shelter and food for the tourists who had been rescued.Emergency officials distributed food and blankets to people while they were trapped in their snowed-in vehicles, but many died of hypothermia. Others may have died from carbon monoxide poisoning after running their car heaters for long periods of time, said rescue services physician Abdur Rehman. As of late Saturday, the death toll included 10 men, 10 children and two women, Mr. Rehman said.In one instance, a husband and wife and their two children all died in their car. In another, four young friends died together, he said.Located 46 km north of Islamabad, Murree is a popular resort town that attracts well over a million tourists annually. Streets leading into the town are often blocked by snow in winter.
Our cod",1,0,0,0
"he United Nations said on Saturday it would hold talks in Sudan aimed at salvaging a fragile democratic transition amid a grinding stalemate following an October coup and the prime minister's resignation last week.Volker Perthes, the UN envoy for Sudan, said in a statement the UN-facilitated political process would seek a “sustainable path forward towards democracy and peace” in the country. It wasn’t immediately clear when discussions might begin.“It is time to end the violence and enter into a constructive process. This process will be inclusive,” he said.Mr. Perthes said key players in Sudan, including the military, rebel groups, political parties and protest movements will be invited to take part in the process as well as civil society and women’s groups.There was no immediate comment from the pro-democracy movement or the military on the UN statement.The October 25 coup scuttled hopes of a peaceful transition to democracy in Sudan more than two years after a popular uprising forced the military overthrow of longtime autocrat Omar al-Bashir and his Islamist government in April 2019.Prime Minister Abdallah Hamdok resigned from office on January 2 citing a failure to reach a compromise between the generals and the country’s pro-democracy movement. He had been ousted in the coup only to be reinstated a month later following a deal with the military meant to calm tensions and anti-coup protests.But Mr. Hamdok resigned, plunging the country further into turmoil amid political deadlock and relentless street protests that have claimed the lives of at least 60 people since the coup.Mr. Perthes said repeated violence since the coup has deepened the mistrust of the military among political parties. He warned that the deadlock could push the country into further instability and “squander the important political, social and economic gains” since the uprising against al-Bashir.The protest movement insists that a civilian government lead the transition, a demand rejected by the generals who say power will be handed over only to an elected government. Elections are planned in July 2023.
Our code of editori",1,0,0,0
"everal high-profile Ethiopian Opposition figures were tasting freedom on Saturday after the government granted a surprise amnesty for prominent political detainees, including Tigrayan party leaders.The government said the move was designed to promote “national dialogue” and follows a dramatic shift in fortunes in the brutal 14-month war between forces loyal to Prime Minister Abiy Ahmed and the rebel Tigray People’s Liberation Front (TPLF).TPLF fighters withdrew to their stronghold in the northernmost region of Tigray at the end of December in the face of a military offensive by government forces that saw them retake a string of strategic towns.Several TPLF figures were among those pardoned, as well as Opposition leaders from the Oromo ethnic group, the largest in Ethiopia, and the Amhara.“The key to lasting unity is dialogue. Ethiopia will make any sacrifices to this end,” the government communications service said in a statement late Friday announcing the amnesty.There has been something of a pause in fighting since the TPLF retreat, although the rebels accuse the government of still carrying out deadly drone strikes on Tigray.Among those freed were several politicians rounded up after deadly protests erupted in mid-2020 over the killing of Hachalu Hundessa, a popular Oromo singer and activist.They included Eskinder Nega, a veteran Amhara journalist. Others released were Jawar Mohammed, an Oromo media mogul.
Our code of ed",1,0,0,0
"audi authorities have released a princess and her daughter who had been held without charge for nearly three years in the capital, a human rights group said on Saturday.Basma bint Saud, 57, a royal family member long seen as a proponent of women’s rights and a constitutional monarchy, has been detained since March 2019, and in April 2020 implored King Salman and Crown Prince Mohammed bin Salman to release her on health grounds.“Basma bint Saud Al Saud and her daughter Suhoud... have been released,” the ALQST for Human Rights said on Twitter.“She was denied the medical care she needed for a potentially life threatening condition,” the rights group added. “At no point during her detention has any charge been levelled against her.”Princess Basmah was arrested shortly before a planned trip to Switzerland for medical treatment, according to a source close to the family.The nature of her illness has never been disclosed.Prince Mohammed has overseen a reform drive since he was appointed by his father King Salman in June 2017 at the expense of the previous designated heir to the throne, Mohammed bin Nayef.Reforms have included lifting a decades-long ban on women driving and the easing of so-called “guardianship” rules that give men arbitrary authority over female relatives.But Saudi authorities have also cracked down on dissidents and even potential opponents, ranging from preachers to women’s rights activists, even royals.
Our code of edit",1,0,0,0
"Rough terrainA milkman carrying his bicycle on a snow-covered path following fresh snowfall in Srinagar, Jammu and Kashmir, on Saturday.NISSAR AHMAD
| Photo",1,0,0,0
"Egyptian-Palestinian political activist Ramy Shaath leaves the Roissy airport in Roissy, outside Paris, on January 8, 2022 after being detained in Egypt for more than two years. - The activist has been released and has board a plane to Paris, but was forced to renounce his Egyptian nationality, his family announced on January 8, 2022. (Photo by JULIEN DE ROSA / AFP)
| Photo Credit: JULIEN DE ROSA
Egyptian-Palestinian activist Ramy Shaath arrived in France on Saturday after almost two and a half years in detention in Egypt, after his family said he had to renounce his Egyptian nationality. The 48-year-old was allegedly involved in the 2011 uprising in Egy",1,0,0,0
"ri Lanka paid a Chinese firm $6.8 million despite rejecting its shipment of organic fertiliser as substandard, officials said on Saturday. After tests in Octobershowed the shipment was contaminated, the officials banned it from landing anywhere on the island.AFP
Our code of editorial values 
",1,0,0,0
"unmen known locally as “bandits” killed at least 140 people in multiple raids this week in northwest Nigeria, residents said on Saturday. There was no official confirmation. Gunmen rampaged through ten villages in Anka and Bukkuyum districts.AFP
Our code of editorial ",1,0,0,0
,1,0,0,0
"Opportune moment: Foreign Ministers Hossein Amir-Abdollahian and Wang Yi in Wuxi, China on Friday. AP AP
| Photo Credit: JI CHUNPENG
China said on Saturday it would begin implementing a strategic agreement with Iran, strengthening economic and political cooperation between the two countries as Beijing blasted Washington’s sanctions on Tehran.China and Iran signed the agreement last year after years of talks, with the wide-ranging partnership set to span areas including energy, security, infrastructure and communications.Chinese Foreign Minister Wang Yi and Iranian counterpart Hossein Amir-Abdollahian announced the start of the partnership’s implementation at a meeting in east China’s Wuxi on Friday, Beijing’s Foreign Ministry said in a statement. Few details of the secretive deal have been published, but the
New York Times
reported in 2020 that it would secure a regular supply of oil for China, citing a draft of the agreement leaked to the paper.
China is Iran’s leading trade partner and was one of the biggest buyers of the country’s oil before then-U.S. president Donald Trump reimposed sweeping unilateral sanctions in 2018.China has officially stopped importing oil from Iran, but analysts say Iranian crude is continuing to enter the country disguised as imports from other countries.Mr. Wang told his Iranian counterpart Friday that China would continue to “oppose illegal unilateral sanctions against Iran,” the Foreign Ministry said.Vienna talks under wayBeijing has long sought to boost ties with Tehran, with Chinese president Xi Jinping describing Iran as “China’s major partner in the Middle East” on a rare visit to the country in 2016.Mr. Wang and Mr. Amir-Abdollahian’s meeting comes as talks continue in Vienna over a potential deal to halt Tehran’s development of nuclear weapons.A 2015 deal — agreed by Iran, the U.S., China, Russia, Britain, France and Germany — offered Tehran sanctions relief in exchange for curbs on its nuclear programme.But the U.S. withdrew from the agreement in 2018, reimposing biting sanctions and prompting Tehran to begin rolling back on its commitments.Talk to salvage the nuclear deal began in late November, after being suspended when Iran elected a new ultraconservative government in June.Mr. Wang told his Iranian counterpart on Friday that China believes the United States is to blame for the current state of the deal, the foreign ministry said in its statement.
Our code of editorial val",1,0,0,0
"Levelling charges: White House press secretary Jen Psaki during a press briefing, on Friday. AP
| Photo Credit: Andrew Harnik
U.S. intelligence officials have determined a Russian effort is under way to create a pretext for its troops to further invade Ukraine, and Moscow has already prepositioned operatives to conduct “a false-flag operation” in eastern Ukraine, according to the White House.White House press secretary Jen Psaki said on Friday the intelligence findings show Russia is also laying the groundwork through a social media disinformation campaign that frames Ukraine as an aggressor that has been preparing an imminent attack against Russian-backed forces in eastern Ukraine.Ms. Psaki charged that Russia has already dispatched operatives trained in urban warfare who could use explosives to carry out acts of sabotage against Russia’s own proxy forces — blaming the acts on Ukraine — if Russian President Vladimir Putin decides he wants to move forward with an invasion.“We are concerned that the Russian government is preparing for an invasion in Ukraine that may result in widespread human rights violations and war crimes should diplomacy fail to meet their objectives,” Ms. Psaki said.Pentagon spokesman John Kirby described the intelligence as “very credible.” A U.S. official, who was not authorised to comment on the intelligence and spoke on condition of anonymity, said much of it was gleaned from intercepted communications and observations of the movements of people.The U.S. intelligence findings, which were declassified and shared with U.S. allies before being made public, estimate that a military invasion could begin between mid-January and mid-February.Ukraine is also monitoring the potential use of disinformation by Russia.The new U.S. intelligence was unveiled after a series of talks between Russia and the U.S. and its Western allies this week in Europe aimed at heading off the escalating crisis made little progress.White House national security adviser Jake Sullivan on ThursdayRussia is laying the groundwork to invade under false pretenses should Mr. Putin decide to go that route. He said the Russians have been planning “sabotage activities and information operations” that accuse Ukraine of prepping for its own imminent attack against Russian forces in eastern Ukraine.Crimean parallelsHe said this is similar to what the Kremlin did in the lead-up to Russia’s 2014 annexation of Crimea.Meanwhile the Russians, while maintaining they don’t plan to invade Ukraine, are demanding that the U.S. and NATO provide written guarantees that the alliance will not expand eastward.Foreign Minister Sergey Lavrov warned on Friday that Moscow wouldn’t wait indefinitely for the Western response, saying he expects the U.S. and NATO to provide a written answer next week.
O",1,0,0,0
" British man accused of attempting to carry out a contract killing of a prominent Pakistani blogger spent days watching his home and bought a chef’s knife, a court was told on Friday.Muhammed Gohir Khan, 31, is standing trial for conspiracy to murder the liberal activist Ahmad Waqass Goraya, who lives in self-imposed exile in the Netherlands.Khan, from east London, was arrested and charged in June last year after visiting Rotterdam, where Mr. Goraya lives. He has pleaded not guilty.According to the prosecutor Alison Morgan, Khan twice travelled to the Netherlands under strict pandemic measures last year, after being offered up to £100,000 to act as a hitman.The supermarket worker, who was deeply in debt, messaged his wife: “I’m going for us, so we have something... I love you a lot.”Mr. Goraya was away at the time and, unable to locate the blogger, Khan returned to the U.K. on June 23, the prosecutor said.Ms. Morgan has told the court that Khan was hired by “others who appeared to be based in Pakistan”.Khan corresponded via encrypted messaging apps with intermediaries promising him riches on earth and in “Jannah” or paradise, it was alleged.Ms. Morgan said the blogger “made fun of the Pakistani military” and “went so far on occasions as to call Pakistan a terrorist state”.
Our code of edit",1,0,0,0
"wo U.S. senators have proposed a law aiming to end China’s alleged “chokehold” on rare-earth metal supplies, a statement by the lawmakers said Friday.The law — proposed by Democrat Mark Kelly and Republican Tom Cotton — would aim to ensure the United States can guarantee its supplies of rare-earth minerals.“The Chinese Communist Party has a chokehold on global rare-earth element supplies, which are used in everything from batteries to fighter jets,” Mr. Cotton said in the statement.80% of the United States’ rare-earth imports in 2019 were from China, according to the United States Geological Survey (USGS). The Bill aims to “protect America from the threat of rare-earth element supply disruptions, encourage domestic production of those elements, and reduce our reliance on China”, the statement said.Strategic reserveThe law would require the departments of the Interior and Defense to create a “strategic reserve” of rare earth minerals by 2025.That reserve would be tasked with responding to the needs of the army, the tech sector and other essential infrastructure “for one year in the event of a supply disruption”.It also aims to ensure greater transparency on the origins of the components, restricts the use of rare-earth minerals from China in “sophisticated” defense equipment, and urges the Commerce Department to investigate Beijing’s “unfair trade practices”.
Our cod",1,0,0,0
"A satellite image of the eruption of an underwater volcano off Tonga.
| Photo Credit: CIRA/NOAA
An undersea volcano erupted in spectacular fashion near the Pacific nation of Tonga on Saturday, sending large tsunami waves crashing across the shore and people rushing to higher ground. A tsunami advisory was in effect for Hawaii, Alaska and the U.S. Pacific coast.There were no immediate reports of injuries or the extent of the damage as communications with the small island nation remained cut off hours after the eruption of the volcano.In Hawaii, the Pacific Tsunami Warning Center reported waves slamming ashore from half a meter (a foot) in Nawiliwili, Kauai, to 80 centimeters (2.7 feet) in Hanalei.Situation in TongaOn Tonga, video posted to social media showed large waves washing ashore in coastal areas, swirling around homes and buildings.New Zealand's military said it was monitoring the situation and remained on standby, ready to assist if asked.Satellite images showed a huge eruption, a plume of ash, steam and gas rising like a mushroom above the blue Pacific waters.In Hawaii, Alaska and along the U.S. Pacific coast, residents were asked to move away from the coastline to higher ground and pay attention to specific instructions from their local emergency management officials.
Our code of editorial valu",1,0,0,0
,1,0,0,0
"he Taliban’s first official talks with the West on European soil since seizing power in Afghanistan will help to “transform the atmosphere of war” after a two-decade insurgency against NATO forces, the group’s top spokesman told AFP on Saturday.The Islamists stormed back to power in August as U.S. and foreign troops began their final withdrawal from the country following a stalemate on the battlefield.No country has yet recognised the Taliban’s government — notorious for human rights abuses during a first stint in power between 1996 and 2001 when they were ousted by a U.S.-led invasion.“The Islamic Emirate has taken steps for meeting the demands of the Western world and we hope to strengthen our relations through diplomacy with all the countries, including European countries and the West in general,” Zabihullah Mujahid said on Saturday.The Taliban want to “transform the atmosphere of war... into a peaceful situation”.The humanitarian situation in Afghanistan has deteriorated since the Taliban’s takeover. International aid came to a sudden halt and the U.S. has frozen $9.5 billion in Afghan central bank assets held overseas.Hunger now threatens 23 million Afghans, or 55% of the population, says the UN.The Oslo visit from Sunday to Tuesday will be focussed on human rights and humanitarian aid as a poverty crisis deepens in Afghanistan. The hardline Islamists will meet Norwegian authorities and officials from a number of allied countries including Britain, the European Union, France, Germany, Italy and the U.S., the Norwegian Foreign Ministry statement said.The delegation is also expected to meet Afghans from civil society, including women leaders and journalists.“These meetings do not represent a legitimisation or recognition of the Taliban” Norwegian Foreign Minister Anniken Huitfeldt said Friday. “But we must talk to the de facto authorities in the country. We cannot allow the political situation to lead to an even worse humanitarian disaster.”The 15-member Taliban team represented by men, and led by Foreign Minister Amir Khan Muttaqi, left Kabul on Saturday on a plane organised by the Norwegian government, a Taliban spokesman said.Ali Maisam Nazary, the foreign relations chief for the National Resistance Front (NRF) — an opposition group — condemned Norway over the talks.
Our co",1,0,0,0
"Closer ties: Japanese Prime Minister Fumio Kishida, right, in a virtual meeting with U.S. President Joe Biden. AP
U.S. President Joe Biden and Japanese Prime Minister Fumio Kishida agreed to “push back” against China and condemned North Korea’s spate of missile tests, while Biden underlined U.S. commitment to defending Japan, in virtual talks on Friday.In a video meeting that lasted about one hour and 20 minutes, Mr. Biden also agreed to travel to Japan in late spring of this year for an official visit and summit of the Quad, which groups Australia, India, Japan and the United States, a senior U.S. official said.Mr. Biden has made restoring the importance of the U.S.-Japanese relationship a priority since taking office exactly a year ago, following his predecessor Donald Trump’s questioning the benefit of even longstanding U.S. alliances in both Asia and Europe.After the meeting, which took place by video link, Mr. Biden tweeted that it was “an honour to meet with Prime Minister Kishida to further strengthen the U.S.-Japan Alliance — the cornerstone of peace and security in the Indo-Pacific and around the world,” using an alternative name for the Asia-Pacific region.A U.S. official said Mr. Biden and Mr. Kishida expressed concern over China “intimidating” its neighbours. “The two leaders resolved to push back against the People's Republic of China (PRC)’s attempts to change the status quo in the East China Sea and South China Sea” and also “underscored the importance of peace and stability across the Taiwan Strait,” the White House readout said.
Our co",1,0,0,0
"ighting raged for a third day on Saturday between the Islamic State group and Kurdish forces in Syria after IS attacked a prison housing jihadists, in violence that has claimed over 70 lives, a war monitor said.The assault on the Ghwayran prison in the northern city of Hasakeh is one of IS’s most significant since its “caliphate” was declared defeated in Syria nearly three years ago.“At least 28 members of the Kurdish security forces, five civilians and 45 members of IS have been killed” in the violence, said Rami Abdel Rahman, head of the Syrian Observatory for Human Rights.IS launched the attack on Thursday night against the prison housing some 3,500 suspected members of the jihadist group, including some of its leaders, said the Observatory.The jihadists “seized weapons they found” in the detention centre and freed several fellow IS fighters, said the Britain-based monitor, which relies on sources inside war-torn Syria for its information.
Our code of ed",1,0,0,0
"Thich Nhat Hanh CHAIWAT SUBPRASOM
| Photo Credit: CHAIWAT SUBPRASOM
Vietnamese monk-turned-peace-activist Thich Nhat Hanh, a hugely influential Buddhist credited with bringing mindfulness to the West, has died aged 95.The Zen master, whose reach within Buddhism is seen as second only to the Dalai Lama, spent nearly four decades in exile after being banished from his homeland for calling for an end to the Vietnam-American War.Thich Nhat Hanh “passed away peacefully” at the Tu Hieu Temple in the city of Hue, Vietnam’s Buddhist heartland, his Zen teaching organisation, the Plum Village Community of Engaged Buddhism, said.Before his return to Vietnam in 2018, he set up retreats around the world and wrote over 100 books including on mindfulness and meditation — a cornerstone of a $4.2 trillion global wellness industry espoused by Oprah Winfrey, Arianna Huffington and tech billionaire Marc Benioff.Born in 1926, Thich Nhat Hanh was ordained aged 16 and went on to found a youth school which trained volunteers to build clinics and infrastructure in villages blighted by war.In the early 1960s he travelled to the U.S., where he taught at Columbia and Princeton universities, but after one trip in 1966 to meet U.S. civil rights icon Martin Luther King — who joined his calls to end the Vietnam War — he was barred from returning home. Believing that war was fundamentally wrong, the monk refused to take sides in the conflict and was consequently persecuted by the governments of both North and South Vietnam.
Our code of ed",1,0,0,0
